iter	RMSE
280	3.491110516
281	3.489355676
282	3.487753244
283	3.486367984
284	3.48528204
285	3.483546306
286	3.482382649
287	3.481205951
288	3.479965029
289	3.477983263
290	3.476615611
291	3.47500612
292	3.473308125
293	3.472035742
294	3.470262512
295	3.469682062
296	3.468645212
297	3.467265366
298	3.465878806
299	3.464559135
300	3.463170539
301	3.461743012
302	3.460655486
303	3.459605849
304	3.458495144
305	3.457393087
306	3.456312068
307	3.454929281
308	3.453682595
309	3.452671778
310	3.451519427
311	3.450288761
312	3.449993318
313	3.449230817
314	3.448189708
315	3.44732121
316	3.446226702
317	3.445232406
318	3.444593046
319	3.44352636
320	3.442590993
321	3.441714186
322	3.44096178
323	3.439761304
324	3.438711274
325	3.43774654
326	3.436803471
327	3.436096766
328	3.435380967
329	3.434420784
330	3.433640143
331	3.432353176
332	3.431361432
333	3.430397754
334	3.429539778
335	3.428544671
336	3.427583103
337	3.426781542
338	3.425718464
339	3.424820822
340	3.423765662
341	3.422829438
342	3.421724917
343	3.421170403
344	3.420195926
345	3.419192909
346	3.418366305
347	3.417664036
348	3.416730151
349	3.415979989
350	3.415474975
351	3.414772532
352	3.413884237
353	3.412829726
354	3.412392376
355	3.411627762
356	3.411034714
357	3.410137914
358	3.409554067
359	3.408976361
360	3.408144189
361	3.407272167
362	3.406625285
363	3.40613154
364	3.40532569
365	3.404695505
366	3.404010354
367	3.403113179
368	3.402435308
369	3.401668805
370	3.400960788
371	3.400310298
372	3.399511349
373	3.398697469
374	3.398183996
375	3.39756056
376	3.396842537
377	3.396223856
378	3.395844984
379	3.395265269
380	3.394994168
381	3.394303456
382	3.393891201
383	3.39299996
384	3.392462518
385	3.391852367
386	3.390894204
387	3.390362974
388	3.389778131
389	3.389456872
390	3.388692929
391	3.387996884
392	3.387283242
393	3.386730804
394	3.3860669
395	3.385412858
396	3.385129213
397	3.384591847
398	3.383896859
399	3.383429805
400	3.383091771
401	3.382613145
402	3.382381881
403	3.381784043
404	3.381559166
405	3.381051686
406	3.380453442
407	3.380034596
408	3.379427315
409	3.378820072
410	3.378557345
411	3.378005702
412	3.377497724
413	3.376921019
414	3.376390095
415	3.375830608
416	3.375212604
417	3.374593751
418	3.374001023
419	3.373482113
420	3.373279517
421	3.372813421
422	3.372480392
423	3.37220071
424	3.371634795
425	3.37141641
426	3.370972255
427	3.37056261
428	3.370119435
429	3.369668499
430	3.369193136
431	3.368493815
432	3.368173697
433	3.367717721
434	3.367146223
435	3.366804015
436	3.366216748
437	3.366077628
438	3.365414926
439	3.365042975
440	3.364662323
441	3.3643335
442	3.363540695
443	3.363054379
444	3.36258674
445	3.362248198
446	3.361812352
447	3.361511229
448	3.361431195
449	3.361174539
450	3.360826313
451	3.360492465
452	3.360081196
453	3.359863858
454	3.35952477
455	3.359097257
456	3.358490423
457	3.358389667
458	3.358135345
459	3.357666672
460	3.357392965
461	3.357112516
462	3.356665391
463	3.356253658
464	3.356017075
465	3.355754061
466	3.355247636
467	3.35514548
468	3.354789774
469	3.354330572
470	3.354113259
471	3.353860899
472	3.353351429
473	3.353073222
474	3.352392309
475	3.352361219
476	3.35213774
477	3.351679847
478	3.351166363
479	3.35084942
480	3.350551797
481	3.35035311
482	3.350093201
483	3.349843549
484	3.349353912
485	3.349150944
486	3.348817817
487	3.348231618
488	3.347981481
489	3.347495563
490	3.347112049
491	3.346819063
492	3.346754316
493	3.346455797
494	3.346253719
495	3.345921401
496	3.345542015
497	3.34515586
498	3.344952396
499	3.344632291
500	3.344329224
501	3.343598776
502	3.343309635
503	3.342839476
504	3.342519498
505	3.342276651
506	3.341914067
507	3.341671427
508	3.341426861
509	3.341215215
510	3.340924014
511	3.34065691
512	3.340216493
513	3.339899955
514	3.339751329
515	3.339500064
516	3.339334584
517	3.339091162
518	3.338773712
519	3.33841816
520	3.338077713
521	3.337732851
522	3.337253261
523	3.336994143
524	3.336817953
525	3.336604225
526	3.336410656
527	3.336222855
528	3.335650524
529	3.335363795
530	3.335056768
531	3.334925424
532	3.334802756
533	3.334661421
534	3.333982707
535	3.333879048
536	3.333497022
537	3.333213834
538	3.332714705
539	3.332537448
540	3.332225902
541	3.332034101
542	3.331797574
543	3.3316185
544	3.331292247
545	3.331264218
546	3.331184795
547	3.331088706
548	3.330490678
549	3.330257381
550	3.330230429
551	3.330015206
552	3.329663926
553	3.329590687
554	3.329405292
555	3.329040483
556	3.328666363
557	3.328386388
558	3.328173705
559	3.327880425
560	3.327717617
561	3.327396888
562	3.327180213
563	3.326893248
564	3.32632477
565	3.32595511
566	3.325673186
567	3.325526795
568	3.325253663
569	3.325141816
570	3.32469902
571	3.324525397
572	3.324231833
573	3.323929834
574	3.32355106
575	3.323315164
576	3.323155765
577	3.322909088
578	3.322759105
579	3.322546706
580	3.322079331
581	3.321839223
582	3.321631587
583	3.32103926
584	3.320960412
585	3.320759406
586	3.320534521
587	3.320240098
588	3.319979534
589	3.319941247
590	3.319678109
591	3.319448899
592	3.319039766
593	3.318826244
594	3.318638443
595	3.318404436
596	3.318084881
597	3.317919856
598	3.317766269
599	3.317626077
600	3.317382993
601	3.317082877
602	3.316542482
603	3.316316277
604	3.315995305
605	3.315736935
606	3.31549791
607	3.315126012
608	3.314878457
609	3.314404494
610	3.314077757
611	3.313843014
612	3.313704959
613	3.313395027
614	3.313346813
615	3.313209011
616	3.31299726
617	3.312794889
618	3.312439457
619	3.312254278
620	3.312080163
621	3.311628173
622	3.311395064
623	3.311028021
624	3.310713442
625	3.310581397
626	3.310416318
627	3.310158669
628	3.309960993
629	3.309712687
630	3.309222766
631	3.309069087
632	3.308857835
633	3.308822616
634	3.308788089
635	3.308668089
636	3.308501224
637	3.308333652
638	3.308293147
639	3.308125533
640	3.308015804
641	3.307623911
642	3.307510832
643	3.30720976
644	3.306864765
645	3.30639035
646	3.306153758
647	3.306062949
648	3.305951681
649	3.305831603
650	3.305593293
651	3.30523783
652	3.305234107
653	3.305169983
654	3.304882431
655	3.304687026
656	3.304349219
657	3.3041214
658	3.30401707
659	3.303909141
660	3.303744516
661	3.303485765
662	3.303312901
663	3.303222792
664	3.303020115
665	3.30276827
666	3.302592072
667	3.302407705
668	3.302053328
669	3.301690168
670	3.301657649
671	3.301569481
672	3.301475281
673	3.301367153
674	3.301262617
675	3.300938387
676	3.300802022
677	3.300527735
678	3.299975859
679	3.29975337
680	3.299614668
681	3.299359447
682	3.299041902
683	3.298896319
684	3.298395947
685	3.298151409
686	3.298061738
687	3.297868501
688	3.297498095
689	3.297357865
690	3.297151358
691	3.296929168
692	3.296642393
693	3.296375855
694	3.296258396
695	3.296072554
696	3.295829316
697	3.295633843
698	3.295469657
699	3.295230961
700	3.295181541
701	3.294856658
702	3.294828249
703	3.294628887
704	3.29459046
705	3.294250118
706	3.294096627
707	3.293929109
708	3.293801743
709	3.293660738
710	3.293362664
711	3.293162414
712	3.292839986
713	3.29271365
714	3.292536448
715	3.291960567
716	3.291790731
717	3.29159819
718	3.291550629
719	3.291221505
720	3.290897842
721	3.290792102
722	3.290745216
723	3.290492234
724	3.290385764
725	3.290381982
726	3.290292167
727	3.290169498
728	3.290060564
729	3.289890635
730	3.289807636
731	3.289406778
732	3.289272667
733	3.289131106
734	3.289020951
735	3.288888725
736	3.288884963
737	3.288538398
738	3.288329858
739	3.288202778
740	3.287916991
741	3.2878288
742	3.287452863
743	3.287449105
744	3.28734858
745	3.28714897
746	3.286826062
747	3.286704446
748	3.28649304
749	3.28642174
750	3.285972794
751	3.285805036
752	3.285340632
753	3.284975091
754	3.284882058
755	3.284824755
756	3.284537264
757	3.284405644
758	3.284324384
759	3.284215035
760	3.284192388
761	3.283929018
762	3.283779528
763	3.283049466
764	3.282872248
765	3.282741555
766	3.282386712
767	3.282318245
768	3.282099317
769	3.281861445
770	3.281604299
771	3.281384921
772	3.281237394
773	3.280991234
774	3.280984537
775	3.280856359
776	3.280476262
777	3.280262182
778	3.28000536
779	3.279804435
780	3.279709393
781	3.279483411
782	3.27916169
783	3.279022069
784	3.278861142
785	3.27864067
786	3.278339498
787	3.277996886
788	3.277856103
789	3.277702912
790	3.277363361
791	3.277201061
792	3.277019918
793	3.276872003
794	3.27667152
795	3.276388068
796	3.276378853
797	3.276135612
798	3.275935476
799	3.275770015
800	3.275394839
801	3.275195184
802	3.275109534
803	3.275042701
804	3.274860584
805	3.274797823
806	3.274445912
807	3.27424557
808	3.274078953
809	3.273890301
810	3.273635576
811	3.273531186
812	3.273232151
813	3.272872327
814	3.272750089
815	3.272589277
816	3.272374286
817	3.271982573
818	3.271826517
819	3.271822004
820	3.271545733
821	3.271411225
822	3.271199961
823	3.27112226
824	3.271066127
825	3.270908461
826	3.270758276
827	3.270397458
828	3.270149459
829	3.270057545
830	3.269609386
831	3.269582353
832	3.269232402
833	3.268925816
834	3.268204346
835	3.267885545
836	3.267662817
837	3.267387853
838	3.267292942
839	3.267179037
840	3.266895825
841	3.266665533
842	3.266550599
843	3.266377963
844	3.266204779
845	3.265871139
846	3.265504125
847	3.265485242
848	3.265402945
849	3.264970638
850	3.264924686
851	3.264508739
852	3.264342464
853	3.264157793
854	3.263976134
855	3.263635595
856	3.26351937
857	3.263181856
858	3.262880296
859	3.262420613
860	3.262349819
861	3.262089438
862	3.261956847
863	3.261841884
864	3.261637966
865	3.261605335
866	3.261355454
867	3.261193684
868	3.260920713
869	3.260631526
870	3.260505645
871	3.260216333
872	3.260071634
873	3.259948974
874	3.259746591
875	3.259530765
876	3.259294631
877	3.258983394
878	3.258822074
879	3.258631041
880	3.258124448
881	3.257907372
882	3.257478501
883	3.257347207
884	3.257292976
885	3.257181741
886	3.256986217
887	3.256845022
888	3.256679934
889	3.256507717
890	3.255952918
891	3.255861348
892	3.255672784
893	3.255502782
894	3.255100895
895	3.255010203
896	3.255008647
897	3.254714383
898	3.254312762
899	3.253958259
900	3.253819852
901	3.253490287
902	3.253368255
903	3.253277612
904	3.253016166
905	3.252990102
906	3.252889309
907	3.252616974
908	3.252610514
909	3.252606916
910	3.252444458
911	3.252163146
912	3.252145412
913	3.252138993
914	3.25206264
915	3.251760023
916	3.251602801
917	3.251599235
918	3.251422222
919	3.250969447
920	3.250706492
921	3.250411438
922	3.250179571
923	3.249905388
924	3.249700352
925	3.249522973
926	3.249237208
927	3.249152775
928	3.249054458
929	3.248880945
930	3.248572799
931	3.248338059
932	3.248135593
933	3.247973631
934	3.247610188
935	3.247606688
936	3.247286719
937	3.24728323
938	3.247133856
939	3.247064928
940	3.246872185
941	3.246713744
942	3.246219847
943	3.24619987
944	3.246057301
945	3.245786689
946	3.245581973
947	3.245297818
948	3.245132449
949	3.244699498
950	3.244632005
951	3.244466431
952	3.244330425
953	3.244316637
954	3.244269782
955	3.244157301
956	3.243926979
957	3.243805383
958	3.243759729
959	3.243735622
960	3.24354157
961	3.243524372
962	3.243519672
963	3.243470578
964	3.243044238
965	3.242812839
966	3.242495172
967	3.242253697
968	3.242145978
969	3.241961722
970	3.241820518
971	3.241622008
972	3.241361991
973	3.241123844
974	3.241120514
975	3.241117195
976	3.241000344
977	3.240980584
978	3.240613912
979	3.240610616
980	3.240604564
981	3.240556898
982	3.240428857
983	3.24032387
984	3.240205279
985	3.240200763
986	3.240042509
987	3.240039296
988	3.239869643
989	3.239813832
990	3.239313467
991	3.239310259
992	3.239165229
993	3.239101675
994	3.239097227
995	3.238860563
996	3.238362315
997	3.238306407
998	3.237929163
999	3.237870867
